programme,cluster,required,n_required,recommended,typical_offer,source_status,source_university,source_url,notes
Materials Science,Engineering – Chemical & Materials,Mathematics | Physics,2,"Chemistry, Further Mathematics",A*AA,verified,Oxford,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/materials-science,Read from the live admissions page for Materials Science.
Civil Engineering,Engineering – Civil & Environmental,—,,—,A*AA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/civil-engineering-meng-2026,Read from the live admissions page for Civil Engineering MEng.
Environmental Engineering,Engineering – Civil & Environmental,—,,—,none,not offered,,,"No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Departments carry the name (Edinburgh, Imperial, UCL) but no degree does."
Electrical Engineering,Engineering – Electrical & Computer,Mathematics,1,"Physics, Further Mathematics, Biology, Chemistry, Design and Technology",A*AA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-meng-2026,Read from the live admissions page for Electronic and Electrical Engineering MEng.
Aerospace Engineering,Engineering – Mechanical & Aerospace,Mathematics | Physics,2,—,A*A*A*,verified,Imperial,https://www.imperial.ac.uk/study/courses/undergraduate/aeronautical-engineering/,Read from the live admissions page for Aeronautical Engineering MEng.
Mechanical Engineering,Engineering – Mechanical & Aerospace,Mathematics | Physics,2,"Design and Technology, Economics, Geography, Chemistry, Biology",A*AA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mechanical-engineering-meng-2026,Read from the live admissions page for Mechanical Engineering MEng.
Engineering (General),Engineering – Other,Mathematics | Physics,2,Further Mathematics,A*A*A,verified,Cambridge,https://www.undergraduate.study.cam.ac.uk/courses/engineering,"Read from the live admissions page for Engineering, BA (Hons) and MEng."
Industrial Engineering,Engineering – Other,—,,—,none,not offered,,,No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Not present at all - only 'with a Year in Industry' variants of other degrees.
Nuclear Engineering,Engineering – Other,—,,—,none,not offered,,,No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Only as 'X with Nuclear Engineering' (Imperial): Mechanical entry is via Mechanical Engineering with transfer in year 2; Materials with Nuclear Engineering MEng admits directly at AAA. Neither is a standalone Nuclear Engineering degree.
Systems Engineering,Engineering – Other,—,,—,none,not offered,,,"No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Closest: Systems Engineering Management MSc (UCL), postgraduate."
Interdisciplinary Sciences,Interdisciplinary,Mathematics | Biology or Chemistry or Physics,2,"Biology, Chemistry, Physics",A*AA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/natural-sciences-bsc-2026,Read from the live admissions page for Natural Sciences BSc.
Actuarial Science,Mathematics,Mathematics or Further Mathematics,1,Further Mathematics,A*AA,verified,Manchester,https://www.manchester.ac.uk/study/undergraduate/courses/2027/07383/bsc-actuarial-science-and-mathematics/,Read from the live admissions page for Actuarial Science and Mathematics BSc.
Applied Mathematics,Mathematics,Mathematics,1,Further Mathematics,A*A*A*–A*AB,verified,Edinburgh,https://study.ed.ac.uk/programmes/undergraduate/429-applied-mathematics/entry-requirements,Read from the live admissions page for Applied Mathematics BSc (Hons).
Mathematics,Mathematics,Mathematics | Further Mathematics,2,—,A*A*A,verified,Cambridge,https://www.undergraduate.study.cam.ac.uk/courses/mathematics-ba-hons-mmath,"Read from the live admissions page for Mathematics, BA (Hons) and MMath."
Operations Research,Mathematics,—,,—,none,not offered,,,"No undergraduate degree of this name at any of the 8 UK universities in the ARWU top 100. Closest: Operational Research MSc (Edinburgh), postgraduate."
Statistics,Mathematics,Mathematics,1,"Further Mathematics, Chemistry, Economics, Physics, Statistics",A*AA,verified,UCL,https://www.ucl.ac.uk/study/prospective-students/undergraduate/courses/statistics-bsc,Read from the live admissions page for Statistics BSc.
Astrophysics,Physics & Astronomy,Mathematics | Physics,2,—,A*AA,verified,UCL,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-msci-2026,Read from the live admissions page for Astrophysics MSci.
Physics,Physics & Astronomy,Mathematics | Physics,2,Further Mathematics,A*AA,verified,Oxford,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/physics,Read from the live admissions page for Physics (MPhys/BA).
