rank,university,country,raw_name,canonical_name,cluster
3,Massachusetts Institute of Technology (MIT),US,Mathematics,Mathematics,Mathematics
3,Massachusetts Institute of Technology (MIT),US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
3,Massachusetts Institute of Technology (MIT),US,Brain & Cognitive Sciences,Neuroscience,Computational Biology & Bioinformatics
3,Massachusetts Institute of Technology (MIT),US,Nuclear Science & Engineering,Nuclear Engineering,Engineering – Other
3,Massachusetts Institute of Technology (MIT),US,Operations Research,Operations Research,Mathematics
3,Massachusetts Institute of Technology (MIT),US,Physics,Physics,Physics & Astronomy
3,Massachusetts Institute of Technology (MIT),US,Statistics & Data Science,Statistics,Mathematics
4,University of Cambridge,UK,Physics & Astrophysics,Astrophysics,Physics & Astronomy
4,University of Cambridge,UK,Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
4,University of Cambridge,UK,Chemical Engineering & Biotechnology,Chemical Engineering,Engineering – Chemical & Materials
4,University of Cambridge,UK,Chemistry,Chemistry,Chemistry
4,University of Cambridge,UK,Computational Biology,Computational Biology,Computational Biology & Bioinformatics
4,University of Cambridge,UK,Computer Science,Computer Science,CS & AI
4,University of Cambridge,UK,Data-Intensive Science,Data Science,CS & AI
4,University of Cambridge,UK,Engineering,Engineering (General),Engineering – Other
4,University of Cambridge,UK,Natural Sciences,Interdisciplinary Sciences,Interdisciplinary
4,University of Cambridge,UK,Mathematics,Mathematics,Mathematics
4,University of Cambridge,UK,Statistical Science,Statistics,Mathematics
5,"University of California, Berkeley",US,Applied Mathematics,Applied Mathematics,Mathematics
5,"University of California, Berkeley",US,Bioengineering,Biomedical Engineering,Engineering – Biomedical
5,"University of California, Berkeley",US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
5,"University of California, Berkeley",US,Chemistry,Chemistry,Chemistry
5,"University of California, Berkeley",US,Civil & Environmental Engineering,Civil Engineering,Engineering – Civil & Environmental
5,"University of California, Berkeley",US,Computational Biology,Computational Biology,Computational Biology & Bioinformatics
5,"University of California, Berkeley",US,Computer Science,Computer Science,CS & AI
5,"University of California, Berkeley",US,Data Science,Data Science,CS & AI
5,"University of California, Berkeley",US,Electrical Engineering & Computer Sciences,Electrical Engineering,Engineering – Electrical & Computer
5,"University of California, Berkeley",US,Industrial Engineering & Operations Research,Industrial Engineering,Engineering – Other
5,"University of California, Berkeley",US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
5,"University of California, Berkeley",US,Mathematics,Mathematics,Mathematics
5,"University of California, Berkeley",US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
5,"University of California, Berkeley",US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
5,"University of California, Berkeley",US,Nuclear Engineering,Nuclear Engineering,Engineering – Other
5,"University of California, Berkeley",US,Physics,Physics,Physics & Astronomy
5,"University of California, Berkeley",US,Statistics,Statistics,Mathematics
6,University of Oxford,UK,Mathematical Modelling & Scientific Computing,Applied Mathematics,Mathematics
6,University of Oxford,UK,Autonomous Intelligent Machines & Systems,Artificial Intelligence,CS & AI
6,University of Oxford,UK,Biochemistry,Biochemistry,Chemistry
6,University of Oxford,UK,Chemistry,Chemistry,Chemistry
6,University of Oxford,UK,Biology,Computational Biology,Computational Biology & Bioinformatics
6,University of Oxford,UK,Computer Science,Computer Science,CS & AI
6,University of Oxford,UK,Earth Sciences,Earth Sciences,Earth & Environmental Sciences
6,University of Oxford,UK,Engineering Science,Engineering (General),Engineering – Other
6,University of Oxford,UK,Mathematics,Mathematics,Mathematics
6,University of Oxford,UK,Physics,Physics,Physics & Astronomy
6,University of Oxford,UK,Statistics,Statistics,Mathematics
7,Princeton University,US,Applied and Computational Mathematics,Applied Mathematics,Mathematics
7,Princeton University,US,Astrophysical Sciences,Astrophysics,Physics & Astronomy
7,Princeton University,US,Chemical & Biological Engineering,Chemical Engineering,Engineering – Chemical & Materials
7,Princeton University,US,Chemistry,Chemistry,Chemistry
7,Princeton University,US,Civil & Environmental Engineering,Civil Engineering,Engineering – Civil & Environmental
7,Princeton University,US,Quantitative & Computational Biology,Computational Biology,Computational Biology & Bioinformatics
7,Princeton University,US,Computer Science,Computer Science,CS & AI
7,Princeton University,US,Geosciences,Earth Sciences,Earth & Environmental Sciences
7,Princeton University,US,Electrical & Computer Engineering,Electrical Engineering,Engineering – Electrical & Computer
7,Princeton University,US,Mathematics,Mathematics,Mathematics
7,Princeton University,US,Mechanical & Aerospace Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
7,Princeton University,US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
7,Princeton University,US,Operations Research & Financial Engineering (ORFE),Operations Research,Mathematics
7,Princeton University,US,Physics,Physics,Physics & Astronomy
7,Princeton University,US,Statistics & Machine Learning,Statistics,Mathematics
8,Columbia University,US,Applied Mathematics,Applied Mathematics,Mathematics
8,Columbia University,US,Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
8,Columbia University,US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
8,Columbia University,US,Chemistry,Chemistry,Chemistry
8,Columbia University,US,Civil Engineering,Civil Engineering,Engineering – Civil & Environmental
8,Columbia University,US,Computational Biology,Computational Biology,Computational Biology & Bioinformatics
8,Columbia University,US,Computer Science,Computer Science,CS & AI
8,Columbia University,US,Data Science,Data Science,CS & AI
8,Columbia University,US,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
8,Columbia University,US,Earth & Environmental Engineering,Environmental Engineering,Engineering – Civil & Environmental
8,Columbia University,US,Materials Science,Materials Science,Engineering – Chemical & Materials
8,Columbia University,US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
8,Columbia University,US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
8,Columbia University,US,Industrial Engineering & Operations Research (IEOR),Operations Research,Mathematics
8,Columbia University,US,Applied Physics,Physics,Physics & Astronomy
8,Columbia University,US,Statistics,Statistics,Mathematics
9,California Institute of Technology (Caltech),US,Aerospace,Aerospace Engineering,Engineering – Mechanical & Aerospace
9,California Institute of Technology (Caltech),US,Applied and Computational Mathematics,Applied Mathematics,Mathematics
9,California Institute of Technology (Caltech),US,Astrophysics,Astrophysics,Physics & Astronomy
9,California Institute of Technology (Caltech),US,Biochemistry & Molecular Biophysics,Biochemistry,Chemistry
9,California Institute of Technology (Caltech),US,Bioengineering,Biomedical Engineering,Engineering – Biomedical
9,California Institute of Technology (Caltech),US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
9,California Institute of Technology (Caltech),US,Chemistry,Chemistry,Chemistry
9,California Institute of Technology (Caltech),US,Civil Engineering,Civil Engineering,Engineering – Civil & Environmental
9,California Institute of Technology (Caltech),US,Biology,Computational Biology,Computational Biology & Bioinformatics
9,California Institute of Technology (Caltech),US,Computer Science,Computer Science,CS & AI
9,California Institute of Technology (Caltech),US,Geochemistry,Earth Sciences,Earth & Environmental Sciences
9,California Institute of Technology (Caltech),US,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
9,California Institute of Technology (Caltech),US,Environmental Science & Engineering,Environmental Engineering,Engineering – Civil & Environmental
9,California Institute of Technology (Caltech),US,Mathematics,Mathematics,Mathematics
9,California Institute of Technology (Caltech),US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
9,California Institute of Technology (Caltech),US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
9,California Institute of Technology (Caltech),US,Physics,Physics,Physics & Astronomy
10,University of Chicago,US,Computational and Applied Mathematics,Applied Mathematics,Mathematics
10,University of Chicago,US,Astrophysics,Astrophysics,Physics & Astronomy
10,University of Chicago,US,Biological Chemistry,Biochemistry,Chemistry
10,University of Chicago,US,Genomics & Systems Biology,Bioinformatics,Computational Biology & Bioinformatics
10,University of Chicago,US,Molecular Engineering,Biomedical Engineering,Engineering – Biomedical
10,University of Chicago,US,Chemistry,Chemistry,Chemistry
10,University of Chicago,US,Computer Science,Computer Science,CS & AI
10,University of Chicago,US,Data Science,Data Science,CS & AI
10,University of Chicago,US,Geophysical Sciences,Earth Sciences,Earth & Environmental Sciences
10,University of Chicago,US,Computational Social Science,Interdisciplinary Sciences,Interdisciplinary
10,University of Chicago,US,Mathematics,Mathematics,Mathematics
10,University of Chicago,US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
10,University of Chicago,US,Physics,Physics,Physics & Astronomy
10,University of Chicago,US,Statistics,Statistics,Mathematics
11,Yale University,US,Applied Mathematics,Applied Mathematics,Mathematics
11,Yale University,US,Molecular Biophysics & Biochemistry,Biochemistry,Chemistry
11,Yale University,US,Computational Biology & Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
11,Yale University,US,Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
11,Yale University,US,Chemical & Environmental Engineering,Chemical Engineering,Engineering – Chemical & Materials
11,Yale University,US,Chemistry,Chemistry,Chemistry
11,Yale University,US,Ecology & Evolutionary Biology,Computational Biology,Computational Biology & Bioinformatics
11,Yale University,US,Computer Science,Computer Science,CS & AI
11,Yale University,US,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
11,Yale University,US,Mathematics,Mathematics,Mathematics
11,Yale University,US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
11,Yale University,US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
11,Yale University,US,Physics,Physics,Physics & Astronomy
11,Yale University,US,Statistics & Data Science,Statistics,Mathematics
12,Cornell University,US,Aerospace Engineering,Aerospace Engineering,Engineering – Mechanical & Aerospace
12,Cornell University,US,Applied Mathematics,Applied Mathematics,Mathematics
12,Cornell University,US,Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
12,Cornell University,US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
12,Cornell University,US,Chemistry,Chemistry,Chemistry
12,Cornell University,US,Civil & Environmental Engineering,Civil Engineering,Engineering – Civil & Environmental
12,Cornell University,US,Computational Biology,Computational Biology,Computational Biology & Bioinformatics
12,Cornell University,US,Computer Science,Computer Science,CS & AI
12,Cornell University,US,Electrical & Computer Engineering,Electrical Engineering,Engineering – Electrical & Computer
12,Cornell University,US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
12,Cornell University,US,Mathematics,Mathematics,Mathematics
12,Cornell University,US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
12,Cornell University,US,Operations Research & Information Engineering,Operations Research,Mathematics
12,Cornell University,US,Physics,Physics,Physics & Astronomy
12,Cornell University,US,Statistics & Data Science,Statistics,Mathematics
12,Cornell University,US,Systems Engineering,Systems Engineering,Engineering – Other
13,Paris-Saclay University,France,Astrophysics & Space Science,Astrophysics,Physics & Astronomy
13,Paris-Saclay University,France,Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
13,Paris-Saclay University,France,Chemistry,Chemistry,Chemistry
13,Paris-Saclay University,France,Computer Science,Computer Science,CS & AI
13,Paris-Saclay University,France,Data Science & AI,Data Science,CS & AI
13,Paris-Saclay University,France,Earth & Environmental Sciences,Earth Sciences,Earth & Environmental Sciences
13,Paris-Saclay University,France,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
13,Paris-Saclay University,France,Energy Engineering,Environmental Engineering,Engineering – Civil & Environmental
13,Paris-Saclay University,France,Materials Science,Materials Science,Engineering – Chemical & Materials
13,Paris-Saclay University,France,Mathematics,Mathematics,Mathematics
13,Paris-Saclay University,France,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
13,Paris-Saclay University,France,Physics,Physics,Physics & Astronomy
13,Paris-Saclay University,France,Statistics,Statistics,Mathematics
14,University College London (UCL),UK,Robotics & Artificial Intelligence,Artificial Intelligence,CS & AI
14,University College London (UCL),UK,Astrophysics,Astrophysics,Physics & Astronomy
14,University College London (UCL),UK,Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
14,University College London (UCL),UK,Medical Physics & Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
14,University College London (UCL),UK,Computational Statistics & Machine Learning,CS & AI,CS & AI
14,University College London (UCL),UK,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
14,University College London (UCL),UK,Chemistry,Chemistry,Chemistry
14,University College London (UCL),UK,Civil Engineering,Civil Engineering,Engineering – Civil & Environmental
14,University College London (UCL),UK,Computer Science,Computer Science,CS & AI
14,University College London (UCL),UK,Data Science,Data Science,CS & AI
14,University College London (UCL),UK,Electrical & Electronic Engineering,Electrical Engineering,Engineering – Electrical & Computer
14,University College London (UCL),UK,Natural Sciences,Interdisciplinary Sciences,Interdisciplinary
14,University College London (UCL),UK,Mathematics,Mathematics,Mathematics
14,University College London (UCL),UK,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
14,University College London (UCL),UK,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
14,University College London (UCL),UK,Physics & Astronomy,Physics,Physics & Astronomy
14,University College London (UCL),UK,Statistical Science,Statistics,Mathematics
14,University of Pennsylvania,US,Applied Mathematics & Computational Science,Applied Mathematics,Mathematics
14,University of Pennsylvania,US,Genomics & Computational Biology,Bioinformatics,Computational Biology & Bioinformatics
14,University of Pennsylvania,US,Bioengineering,Biomedical Engineering,Engineering – Biomedical
14,University of Pennsylvania,US,Chemical & Biomolecular Engineering,Chemical Engineering,Engineering – Chemical & Materials
14,University of Pennsylvania,US,Chemistry,Chemistry,Chemistry
14,University of Pennsylvania,US,Civil Engineering,Civil Engineering,Engineering – Civil & Environmental
14,University of Pennsylvania,US,Computer & Information Science,Computer Science,CS & AI
14,University of Pennsylvania,US,Data Science,Data Science,CS & AI
14,University of Pennsylvania,US,Electrical & Systems Engineering,Electrical Engineering,Engineering – Electrical & Computer
14,University of Pennsylvania,US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
14,University of Pennsylvania,US,Mechanical Engineering & Applied Mechanics,Mechanical Engineering,Engineering – Mechanical & Aerospace
14,University of Pennsylvania,US,Physics,Physics,Physics & Astronomy
14,University of Pennsylvania,US,Statistics,Statistics,Mathematics
14,University of Pennsylvania,US,Networked & Social Systems Engineering,Systems Engineering,Engineering – Other
16,"University of California, Los Angeles (UCLA)",US,Aerospace Engineering,Aerospace Engineering,Engineering – Mechanical & Aerospace
16,"University of California, Los Angeles (UCLA)",US,Applied Mathematics,Applied Mathematics,Mathematics
16,"University of California, Los Angeles (UCLA)",US,Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
16,"University of California, Los Angeles (UCLA)",US,Bioengineering,Biomedical Engineering,Engineering – Biomedical
16,"University of California, Los Angeles (UCLA)",US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
16,"University of California, Los Angeles (UCLA)",US,Chemistry,Chemistry,Chemistry
16,"University of California, Los Angeles (UCLA)",US,Civil & Environmental Engineering,Civil Engineering,Engineering – Civil & Environmental
16,"University of California, Los Angeles (UCLA)",US,Computational & Systems Biology,Computational Biology,Computational Biology & Bioinformatics
16,"University of California, Los Angeles (UCLA)",US,Computer Science,Computer Science,CS & AI
16,"University of California, Los Angeles (UCLA)",US,Data Science,Data Science,CS & AI
16,"University of California, Los Angeles (UCLA)",US,Atmospheric & Oceanic Sciences,Earth Sciences,Earth & Environmental Sciences
16,"University of California, Los Angeles (UCLA)",US,Computer Engineering,Electrical Engineering,Engineering – Electrical & Computer
16,"University of California, Los Angeles (UCLA)",US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
16,"University of California, Los Angeles (UCLA)",US,Mathematics,Mathematics,Mathematics
16,"University of California, Los Angeles (UCLA)",US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
16,"University of California, Los Angeles (UCLA)",US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
16,"University of California, Los Angeles (UCLA)",US,Physics,Physics,Physics & Astronomy
16,"University of California, Los Angeles (UCLA)",US,Statistics,Statistics,Mathematics
17,University of Washington,US,Aeronautics & Astronautics,Aerospace Engineering,Engineering – Mechanical & Aerospace
17,University of Washington,US,Applied Mathematics,Applied Mathematics,Mathematics
17,University of Washington,US,Bioengineering,Biomedical Engineering,Engineering – Biomedical
17,University of Washington,US,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
17,University of Washington,US,Chemistry,Chemistry,Chemistry
17,University of Washington,US,Civil & Environmental Engineering,Civil Engineering,Engineering – Civil & Environmental
17,University of Washington,US,Computational Biology,Computational Biology,Computational Biology & Bioinformatics
17,University of Washington,US,Computer Science & Engineering,Computer Science,CS & AI
17,University of Washington,US,Data Science,Data Science,CS & AI
17,University of Washington,US,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
17,University of Washington,US,Industrial & Systems Engineering,Industrial Engineering,Engineering – Other
17,University of Washington,US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
17,University of Washington,US,Mathematics,Mathematics,Mathematics
17,University of Washington,US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
17,University of Washington,US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
17,University of Washington,US,Physics,Physics,Physics & Astronomy
17,University of Washington,US,Statistics,Statistics,Mathematics
18,Tsinghua University,China,Aerospace Engineering,Aerospace Engineering,Engineering – Mechanical & Aerospace
18,Tsinghua University,China,Artificial Intelligence,Artificial Intelligence,CS & AI
18,Tsinghua University,China,Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
18,Tsinghua University,China,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
18,Tsinghua University,China,Chemistry,Chemistry,Chemistry
18,Tsinghua University,China,Civil Engineering,Civil Engineering,Engineering – Civil & Environmental
18,Tsinghua University,China,Computer Science & Technology,Computer Science,CS & AI
18,Tsinghua University,China,Data Science,Data Science,CS & AI
18,Tsinghua University,China,Electronic Engineering,Electrical Engineering,Engineering – Electrical & Computer
18,Tsinghua University,China,Environmental Engineering,Environmental Engineering,Engineering – Civil & Environmental
18,Tsinghua University,China,Industrial Engineering,Industrial Engineering,Engineering – Other
18,Tsinghua University,China,Materials Science,Materials Science,Engineering – Chemical & Materials
18,Tsinghua University,China,Mathematics,Mathematics,Mathematics
18,Tsinghua University,China,Physics,Physics,Physics & Astronomy
18,Tsinghua University,China,Statistics,Statistics,Mathematics
18,Tsinghua University,China,Automation,Systems Engineering,Engineering – Other
19,Johns Hopkins University,US,Applied Mathematics & Statistics,Applied Mathematics,Mathematics
19,Johns Hopkins University,US,Biophysics,Biochemistry,Chemistry
19,Johns Hopkins University,US,Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
19,Johns Hopkins University,US,Chemical & Biomolecular Engineering,Chemical Engineering,Engineering – Chemical & Materials
19,Johns Hopkins University,US,Chemistry,Chemistry,Chemistry
19,Johns Hopkins University,US,Civil & Systems Engineering,Civil Engineering,Engineering – Civil & Environmental
19,Johns Hopkins University,US,Computational Medicine,Computational Biology,Computational Biology & Bioinformatics
19,Johns Hopkins University,US,Computer Science,Computer Science,CS & AI
19,Johns Hopkins University,US,Data Science,Data Science,CS & AI
19,Johns Hopkins University,US,Computer Engineering,Electrical Engineering,Engineering – Electrical & Computer
19,Johns Hopkins University,US,Environmental Engineering,Environmental Engineering,Engineering – Civil & Environmental
19,Johns Hopkins University,US,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
19,Johns Hopkins University,US,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
19,Johns Hopkins University,US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
19,Johns Hopkins University,US,Physics,Physics,Physics & Astronomy
19,Johns Hopkins University,US,Systems Engineering,Systems Engineering,Engineering – Other
20,"University of California, San Diego",US,Applied Mathematics,Applied Mathematics,Mathematics
20,"University of California, San Diego",US,Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
20,"University of California, San Diego",US,Bioengineering,Biomedical Engineering,Engineering – Biomedical
20,"University of California, San Diego",US,Chemical & Nano Engineering,Chemical Engineering,Engineering – Chemical & Materials
20,"University of California, San Diego",US,Chemistry,Chemistry,Chemistry
20,"University of California, San Diego",US,Structural Engineering,Civil Engineering,Engineering – Civil & Environmental
20,"University of California, San Diego",US,Computational Biology,Computational Biology,Computational Biology & Bioinformatics
20,"University of California, San Diego",US,Computer Science & Engineering,Computer Science,CS & AI
20,"University of California, San Diego",US,Data Science,Data Science,CS & AI
20,"University of California, San Diego",US,Electrical & Computer Engineering,Electrical Engineering,Engineering – Electrical & Computer
20,"University of California, San Diego",US,Mathematics,Mathematics,Mathematics
20,"University of California, San Diego",US,Mechanical & Aerospace Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
20,"University of California, San Diego",US,Cognitive Science,Neuroscience,Computational Biology & Bioinformatics
20,"University of California, San Diego",US,Physics,Physics,Physics & Astronomy
20,"University of California, San Diego",US,Statistics,Statistics,Mathematics
21,"University of California, San Francisco (UCSF)",US,Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
21,"University of California, San Francisco (UCSF)",US,Chemistry & Chemical Biology,Chemistry,Chemistry
21,"University of California, San Francisco (UCSF)",US,Computational Biology,Computational Biology,Computational Biology & Bioinformatics
21,"University of California, San Francisco (UCSF)",US,Neuroscience,Neuroscience,Computational Biology & Bioinformatics
21,"University of California, San Francisco (UCSF)",US,Biostatistics,Statistics,Mathematics
22,ETH Zurich,Switzerland,Biotechnology,Biochemistry,Chemistry
22,ETH Zurich,Switzerland,Health Sciences & Technology,Biomedical Engineering,Engineering – Biomedical
22,ETH Zurich,Switzerland,Chemical Engineering & Biotechnology,Chemical Engineering,Engineering – Chemical & Materials
22,ETH Zurich,Switzerland,Chemistry,Chemistry,Chemistry
22,ETH Zurich,Switzerland,Civil Engineering,Civil Engineering,Engineering – Civil & Environmental
22,ETH Zurich,Switzerland,Computational Science & Engineering,Computational Science,CS & AI
22,ETH Zurich,Switzerland,Computer Science,Computer Science,CS & AI
22,ETH Zurich,Switzerland,Data Science,Data Science,CS & AI
22,ETH Zurich,Switzerland,Earth & Planetary Sciences,Earth Sciences,Earth & Environmental Sciences
22,ETH Zurich,Switzerland,Electrical Engineering & Information Technology,Electrical Engineering,Engineering – Electrical & Computer
22,ETH Zurich,Switzerland,Environmental Engineering,Environmental Engineering,Engineering – Civil & Environmental
22,ETH Zurich,Switzerland,Interdisciplinary Sciences,Interdisciplinary Sciences,Interdisciplinary
22,ETH Zurich,Switzerland,Materials Science & Engineering,Materials Science,Engineering – Chemical & Materials
22,ETH Zurich,Switzerland,Mathematics,Mathematics,Mathematics
22,ETH Zurich,Switzerland,Mechanical Engineering & Process Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
22,ETH Zurich,Switzerland,Physics,Physics,Physics & Astronomy
22,ETH Zurich,Switzerland,Statistics,Statistics,Mathematics
22,ETH Zurich,Switzerland,"Robotics, Systems & Control",Systems Engineering,Engineering – Other
23,Peking University,China,Bioinformatics,Bioinformatics,Computational Biology & Bioinformatics
23,Peking University,China,Chemistry,Chemistry,Chemistry
23,Peking University,China,Computer Science,Computer Science,CS & AI
23,Peking University,China,Data Science,Data Science,CS & AI
23,Peking University,China,Atmospheric Sciences,Earth Sciences,Earth & Environmental Sciences
23,Peking University,China,Electronic Engineering,Electrical Engineering,Engineering – Electrical & Computer
23,Peking University,China,Mathematics,Mathematics,Mathematics
23,Peking University,China,Physics,Physics,Physics & Astronomy
23,Peking University,China,Statistics,Statistics,Mathematics
24,Zhejiang University,China,Artificial Intelligence,Artificial Intelligence,CS & AI
24,Zhejiang University,China,Biomedical Engineering,Biomedical Engineering,Engineering – Biomedical
24,Zhejiang University,China,Chemical Engineering,Chemical Engineering,Engineering – Chemical & Materials
24,Zhejiang University,China,Chemistry,Chemistry,Chemistry
24,Zhejiang University,China,Civil Engineering,Civil Engineering,Engineering – Civil & Environmental
24,Zhejiang University,China,Computer Science & Technology,Computer Science,CS & AI
24,Zhejiang University,China,Data Science,Data Science,CS & AI
24,Zhejiang University,China,Electrical Engineering,Electrical Engineering,Engineering – Electrical & Computer
24,Zhejiang University,China,Environmental Engineering,Environmental Engineering,Engineering – Civil & Environmental
24,Zhejiang University,China,Materials Science,Materials Science,Engineering – Chemical & Materials
24,Zhejiang University,China,Mathematics,Mathematics,Mathematics
24,Zhejiang University,China,Mechanical Engineering,Mechanical Engineering,Engineering – Mechanical & Aerospace
